295,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,457.71,457.45,1678
296,STC,St. Cloud Regional,St. Cloud,MN,117.86,117.79,1662
297,BTM,Bert Mooney,Butte,MT,563.13,562.80,1584
298,ART,Watertown International,Watertown,NY,491.17,490.89,1578
299,HGR,Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,124.58,124.51,1563
300,OGS,Ogdensburg International,Ogdensburg,NY,171.38,171.28,1550
301,GGG,East Texas Regional,Longview,TX,461.88,461.62,1526
302,GCC,Gillette Campbell County,Gillette,WY,608.94,608.59,1512
303,GCK,Garden City Regional,Garden City,KS,465.39,465.12,1500
304,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,324.34,324.15,1497
305,CIU,Chippewa County International,Sault Ste. Marie,MI,582.38,582.05,1494
306,SPN,Francisco C. Ada Saipan International,Saipan,TT,350.48,350.27,1486
307,RHI,Rhinelander/Oneida County,Rhinelander,WI,532.75,532.44,1470
308,RKS,Southwest Wyoming Regional,Rock Springs,WY,446.25,445.99,1441
309,BRD,Brainerd Lakes Regional,Brainerd,MN,613.39,613.04,1434
310,IPT,Williamsport Regional,Williamsport,PA,502.06,501.77,1427
311,EAU,Chippewa Valley Regional,Eau Claire,WI,420.38,420.14,1382
312,HOB,Lea County Regional,Hobbs,NM,505.64,505.35,1375
313,ALO,Waterloo Regional,Waterloo,IA,494.82,494.53,1334
314,MEI,Key Field,Meridian,MS,501.72,501.43,1326
315,PAH,Barkley Regional,Paducah,KY,443.21,442.95,1321
316,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,640.96,640.59,1318
317,DUT,Unalaska Airport,Unalaska,AK,1017.29,1016.70,1257
318,CMX,Houghton County Memorial,Hancock/Houghton,MI,550.79,550.47,1199
319,IMT,Ford,Iron Mountain/Kingsfd,MI,473.75,473.48,1175
320,OWB,Owensboro Daviess County Regional,Owensboro,KY,155.09,155.00,1167
321,HHH,Hilton Head Airport,Hilton Head,SC,435.33,435.08,1156
322,MKG,Muskegon County,Muskegon,MI,354.46,354.26,1130
323,EKO,Elko Regional,Elko,NV,647.97,647.59,1114
324,LAR,Laramie Regional,Laramie,WY,468.59,468.32,1068
325,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,712.56,712.15,1058
326,ESC,Delta County,Escanaba,MI,493.37,493.09,1031
327,PSG,Petersburg James A Johnson,Petersburg,AK,425.97,425.73,1021
328,HIB,Range Regional,Hibbing,MN,587.61,587.27,1014
329,OGD,Ogden-Hinckley,Ogden,UT,96.62,96.57,987
330,CDC,Cedar City Regional,Cedar City,UT,385.45,385.23,985
331,BFF,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,371.84,371.62,916
332,LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,372.62,372.40,860
333,MMH,Mammoth Lakes Airport,Mammoth Lakes,CA,228.37,228.24,794
334,SHD,Shenandoah Valley Regional,Staunton,VA,356.00,355.79,783
335,CDV,Merle K Mudhole Smith,Cordova,AK,397.85,397.62,776
336,HYS,Hays Regional,Hays,KS,457.08,456.82,763
337,GUC,Gunnison-Crested Butte Regional,Gunnison,CO,608.30,607.95,742
338,SLN,Salina Regional,Salina,KS,299.73,299.56,735
339,JMS,Jamestown Regional,Jamestown,ND,379.31,379.10,724
340,WRG,Wrangell Airport,Wrangell,AK,413.00,412.77,674
341,CGI,Cape Girardeau Regional,Cape Girardeau,MO,268.47,268.32,661
342,AKN,King Salmon Airport,King Salmon,AK,597.83,597.48,653
343,UIN,Quincy Regional-Baldwin Field,Quincy,IL,308.95,308.78,627
344,APN,Alpena County Regional,Alpena,MI,583.76,583.43,623
345,PUB,Pueblo Memorial,Pueblo,CO,424.88,424.63,614
346,INL,Falls International Einarson Field,International Falls,MN,472.22,471.94,583
347,PRC,Ernest A. Love Field,Prescott,AZ,266.97,266.82,567
348,BKG,Branson Airport,Branson,MO,112.24,112.18,540
349,PIB,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,466.38,466.11,516
350,VEL,Vernal Regional,Vernal,UT,348.76,348.56,475
351,TBN,Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,457.57,457.31,462
352,CNY,Canyonlands Field,Moab,UT,240.12,239.98,436
352,DLG,Dillingham Airport,Dillingham,AK,542.00,541.69,436
354,DVL,Devils Lake Regional,Devils Lake,ND,478.08,477.80,426
355,MKK,Molokai,Hoolehua,HI,218.82,218.70,395
356,ENA,Kenai Municipal,Kenai,AK,537.50,537.19,385
357,HYA,Barnstable Municipal-Boardman/Polando Field,Hyannis,MA,257.44,257.30,383
358,OTH,Southwest Oregon Regional,North Bend/Coos Bay,OR,543.74,543.42,368
359,PQI,Northern Maine Regional at Presque Isle,Presque Isle/Houlton,ME,555.41,555.09,364
360,YAK,Yakutat Airport,Yakutat,AK,380.88,380.66,363
361,LWB,Greenbrier Valley,Lewisburg,WV,422.50,422.26,337
362,LBL,Liberal Mid-America Regional,Liberal,KS,347.21,347.01,331
363,EAR,Kearney Regional,Kearney,NE,460.76,460.49,292
364,WYS,Yellowstone,West Yellowstone,MT,527.21,526.90,288
365,LNY,Lanai Airport,Lanai,HI,282.81,282.65,261
366,HOM,Homer Airport,Homer,AK,578.12,577.79,234
366,LEB,Lebanon Municipal,Lebanon-Hanover,NH,393.41,393.18,234
368,MWA,Veterans Airport of Southern Illinois,Marion/Herrin,IL,443.51,443.26,228
369,JHM,Kapalua Airport,Kapalua,HI,297.40,297.23,211
370,AUG,Augusta State,Augusta/Waterville,ME,344.64,344.44,183
371,RUT,Rutland - Southern Vermont Regional,Rutland,VT,371.89,371.68,144
372,PVC,Provincetown Municipal,Provincetown,MA,473.82,473.55,139
373,GST,Gustavus Airport,Gustavus,AK,244.76,244.62,130
374,RKD,Knox County Regional,Rockland,ME,445.22,444.96,129
375,BHB,Hancock County-Bar Harbor,Bar Harbor,ME,428.70,428.46,117
376,ALS,San Luis Valley Regional/Bergman Field,Alamosa,CO,437.31,437.06,116
377,CDB,Cold Bay Airport,Cold Bay,AK,914.53,914.00,114
378,SLK,Adirondack Regional,Saranac Lake/Lake Placid,NY,503.03,502.74,109
379,IRK,Kirksville Regional,Kirksville,MO,482.08,481.80,101
